seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12324,99122,29428,51923,221487,20187,133256,68985,192507,88082,138336,59875,12213,80548,5858,1460,60181,29690,104643,252658,177750,21631,350818,8751,29149,262607,42611,51278,296146,38872,409308,242198,2022-11-15T14:56:33.093000-05:00,25.01,37.07,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
1.0,1.0,12323,99131,29442,51929,221506,20180,133246,69010,192486,88095,138367,59882,12212,80621,5854,1455,60180,29711,104725,252816,177725,21638,350907,8750,29167,262491,42592,51251,296046,38862,409383,242204,2022-11-15T14:56:34.093000-05:00,25.02,37.06938016528925,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
2.0,1.0,12325,99125,29431,51899,221320,20186,133298,69033,192392,88098,138276,59882,12208,80617,5854,1458,60182,29710,104762,252837,177540,21639,350836,8745,29158,262423,42599,51243,295814,38869,408853,242259,2022-11-15T14:56:35.093000-05:00,25.020639834881322,37.05,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
3.0,1.0,12324,99152,29420,51900,221500,20181,133321,68995,192525,88097,138151,59897,12212,80565,5855,1455,60221,29707,104785,252813,177583,21632,350651,8741,29152,262427,42602,51240,295747,38834,409026,242202,2022-11-15T14:56:36.093000-05:00,25.02616494845361,37.0480824742268,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
4.0,1.0,12321,99121,29413,51885,221437,20190,133485,69008,192451,88090,138251,59893,12213,80616,5855,1455,60201,29710,104894,252827,177731,21631,350934,8738,29128,262555,42591,51215,295794,38839,408933,242318,2022-11-15T14:56:37.093000-05:00,24.99127197518097,37.02872802481903,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
5.0,1.0,12321,99143,29422,51921,221594,20191,133356,69001,192522,88080,138235,59827,12210,80610,5852,1456,60214,29702,104899,252722,177663,21638,350755,8735,29141,262638,42588,51214,295745,38818,409074,242345,2022-11-15T14:56:38.093000-05:00,25.003213182286302,37.01839340885685,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
6.0,1.0,12323,99076,29422,51902,221542,20185,133421,68992,192603,88062,138220,59797,12215,80547,5849,1458,60201,29702,105054,252779,177564,21639,350750,8735,29125,262638,42604,51209,295697,38791,408968,242245,2022-11-15T14:56:39.093000-05:00,25.01232365145228,37.00616182572614,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
7.0,1.0,12325,99062,29424,51898,221334,20193,133415,69007,192593,88060,138178,59791,12214,80524,5848,1454,60217,29695,104925,252831,177595,21637,350959,8733,29122,262573,42588,51200,295675,38775,408910,242237,2022-11-15T14:56:40.093000-05:00,24.986835051546393,36.987721649484534,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
8.0,1.0,12323,99051,29407,51893,221452,20190,133469,69032,192645,88021,138168,59783,12212,80553,5851,1456,60218,29691,105004,252764,177658,21632,350692,8728,29099,262537,42576,51179,295703,38775,408853,242264,2022-11-15T14:56:41.093000-05:00,25.01,36.98,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
9.0,1.0,12323,99044,29414,51877,221493,20187,133410,69028,192712,88021,138169,59754,12212,80509,5850,1457,60226,29699,104926,252726,177591,21629,350669,8722,29129,262566,42579,51150,295647,38757,408833,242371,2022-11-15T14:56:42.093000-05:00,25.01,36.9712693498452,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
10.0,1.0,12322,99048,29405,51845,221585,20185,133417,69002,192672,88037,138146,59741,12215,80506,5848,1456,60223,29702,104819,252679,177685,21629,350725,8720,29126,262580,42573,51136,295687,38742,408738,242397,2022-11-15T14:56:43.093000-05:00,25.006746361746362,36.943492723492724,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
11.0,1.0,12322,99040,29406,51834,221438,20182,133505,68982,192675,88023,138116,59730,12213,80618,5846,1455,60194,29698,104547,252689,177728,21637,350757,8719,29125,262646,42582,51147,295619,38738,408643,242508,2022-11-15T14:56:44.093000-05:00,25.0,36.93,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
12.0,1.0,12323,99051,29408,51833,221442,20183,133511,68979,192667,88041,138132,59723,12214,80566,5847,1456,60191,29688,104608,252724,177788,21637,350614,8716,29145,262605,42587,51134,295309,38733,408570,242620,2022-11-15T14:56:45.093000-05:00,25.0,36.93,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
13.0,1.0,12323,99022,29406,51836,221572,20182,133483,69010,192631,88037,138143,59710,12215,80493,5847,1456,60200,29686,104933,252749,177574,21638,350672,8714,29117,262446,42579,51122,295119,38733,408835,242563,2022-11-15T14:56:46.093000-05:00,25.0,36.91705882352941,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
14.0,1.0,12322,99032,29402,51831,221573,20179,133427,69060,192575,88014,138112,59694,12215,80432,5847,1454,60189,29693,105205,252825,177545,21633,350649,8712,29093,262549,42580,51123,295255,38733,408934,242539,2022-11-15T14:56:47.093000-05:00,25.004619341563785,36.89538065843622,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
15.0,1.0,12322,99019,29406,51833,221578,20180,133468,69060,192498,88032,138095,59684,12217,80434,5844,1455,60181,29690,105086,252866,177657,21632,350633,8705,29099,262621,42582,51120,295353,38715,409039,242529,2022-11-15T14:56:48.093000-05:00,24.985386996904026,36.89,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
16.0,1.0,12321,99039,29412,51832,221554,20181,133473,69047,192531,88038,138093,59680,12214,80465,5842,1456,60167,29674,105172,252771,177754,21629,350636,8697,29102,262533,42584,51112,295320,38702,408896,242465,2022-11-15T14:56:49.093000-05:00,24.970594369134517,36.884702815432746,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
17.0,1.0,12321,99005,29411,51850,221498,20182,133437,69062,192559,88027,138019,59640,12213,80472,5842,1455,60151,29675,105303,252750,177918,21629,350664,8694,29074,262580,42580,51091,295228,38688,408904,242384,2022-11-15T14:56:50.093000-05:00,24.9969793814433,36.88,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
18.0,1.0,12321,98997,29420,51863,221414,20182,133292,69038,192577,88020,138012,59599,12210,80499,5843,1456,60155,29684,105095,252746,177860,21630,350776,8690,29064,262550,42576,51068,295080,38646,408846,242447,2022-11-15T14:56:51.093000-05:00,24.98609907120743,36.85609907120743,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
19.0,1.0,12322,99002,29404,51811,221394,20180,133373,69015,192539,88012,137957,59575,12212,80525,5843,1457,60189,29688,104993,252751,177580,21628,350737,8683,29068,262486,42567,51046,295029,38649,408659,242480,2022-11-15T14:56:52.093000-05:00,24.9762951496388,36.84,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
20.0,1.0,12321,98990,29413,51795,221444,20183,133546,69027,192584,88007,137915,59570,12214,80512,5844,1457,60187,29681,104824,252864,177581,21630,350667,8683,29091,262448,42557,51026,295022,38669,408461,242411,2022-11-15T14:56:53.093000-05:00,24.993382045929017,36.82661795407098,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
21.0,1.0,12323,99005,29424,51803,221421,20183,133557,69042,192584,88006,137905,59562,12211,80439,5842,1458,60160,29680,104933,252842,177806,21633,350561,8685,29093,262437,42562,51008,294883,38648,408527,242470,2022-11-15T14:56:54.093000-05:00,25.007041237113402,36.8059175257732,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
22.0,1.0,12325,99015,29430,51814,221457,20185,133467,69013,192536,87983,137948,59545,12212,80403,5841,1457,60167,29685,105091,252848,177646,21631,350681,8678,29108,262437,42566,51024,294966,38619,408472,242436,2022-11-15T14:56:55.093000-05:00,24.987925696594427,36.8,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
23.0,1.0,12326,99003,29416,51805,221456,20185,133530,69024,192504,87991,137893,59535,12215,80416,5840,1458,60186,29694,104992,252802,177734,21630,350552,8676,29110,262368,42545,51022,294879,38607,408455,242379,2022-11-15T14:56:56.093000-05:00,25.018311019567456,36.784675592173016,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
24.0,1.0,12324,98941,29433,51772,221492,20180,133490,69043,192518,87918,137573,58843,12206,80386,5836,1459,60128,29651,105157,252758,177636,21618,350329,8653,28999,261775,42385,50369,292837,38168,408553,242322,2022-11-15T14:56:57.093000-05:00,24.99011351909185,36.69224974200207,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
25.0,1.0,12315,98754,29427,51636,221292,20154,133618,68992,192360,87770,137173,57532,12199,80321,5827,1457,60113,29642,104929,252806,177741,21619,350725,8650,29146,263381,42800,52338,298771,39870,408961,242590,2022-11-15T14:56:58.093000-05:00,24.99662874870734,36.3540537745605,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
26.0,1.0,12339,99486,29448,52176,221749,20275,133710,69144,192986,88749,140335,73518,12256,81016,5880,1460,60298,29976,105610,253391,178513,21717,352245,8897,29677,265866,43757,58429,309955,43081,409538,243364,2022-11-15T14:56:59.093000-05:00,25.008619979402678,37.25543769309989,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
27.0,1.0,12364,100365,29476,53151,221988,20354,133765,69129,193309,89346,142224,94016,12280,81327,5951,1460,60405,30092,105828,253646,178695,21754,352723,9094,29913,266458,44151,61089,315064,44389,410017,243675,2022-11-15T14:57:00.093000-05:00,25.001067560598248,39.357271789582256,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
28.0,1.0,12389,101239,29503,54173,222170,20421,133817,69080,193561,89850,143808,114687,12297,81556,6022,1460,60495,30164,105942,253836,178768,21780,353011,9275,30093,266747,44445,63115,319137,45374,410477,243903,2022-11-15T14:57:01.093000-05:00,24.990752965446106,41.60585353274884,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
29.0,1.0,12402,101570,29549,54542,222396,20438,133767,69206,193707,90101,144669,120809,12298,81905,6094,1458,60546,30182,106054,253827,178985,21810,353260,9402,30156,266969,44625,64152,321533,45899,410606,243979,2022-11-15T14:57:02.093000-05:00,25.02830578512397,43.52248966942149,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,baseline
30.0,1.0,12409,101786,29520,54694,222418,20449,133853,69129,193821,90253,145392,123437,12296,82265,6157,1460,60596,30201,105839,253960,178824,21813,353051,9501,30268,267048,44706,64647,323507,46183,409981,243943,2022-11-15T14:57:03.093000-05:00,24.99045360824742,45.02367010309278,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
31.0,1.0,12411,101983,29510,54720,222584,20456,133953,69188,193948,90358,145877,124146,12297,82562,6198,1461,60596,30190,105923,253905,179086,21817,353187,9579,30289,267028,44771,64867,324921,46331,409973,244017,2022-11-15T14:57:04.093000-05:00,25.02921568627451,46.177647058823524,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
32.0,1.0,12411,101993,29556,54759,222457,20467,134008,69194,194047,90412,146290,123984,12296,82477,6229,1460,60640,30198,105964,253879,178920,21811,353458,9633,30324,266916,44790,64897,325612,46454,410532,244084,2022-11-15T14:57:05.093000-05:00,24.993095975232198,47.095603715170284,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
33.0,1.0,12409,102097,29528,54781,222578,20464,134018,69228,193992,90450,146555,123846,12295,82767,6249,1460,60632,30196,106170,253876,178940,21827,353451,9684,30315,266937,44789,64941,326686,46513,410208,244037,2022-11-15T14:57:06.093000-05:00,25.049164086687306,47.795975232198145,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
34.0,1.0,12414,102110,29516,54838,222459,20464,133909,69195,193930,90497,146859,123453,12296,82864,6265,1461,60630,30184,106242,253779,178949,21822,353551,9717,30305,267036,44800,64975,327187,46514,410437,244043,2022-11-15T14:57:07.093000-05:00,25.03884536082474,48.34387628865979,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
35.0,1.0,12414,102158,29528,54885,222558,20468,133821,69212,193935,90509,147026,123070,12301,82961,6273,1460,60644,30177,106029,253744,178755,21823,353628,9754,30312,266886,44806,64919,327478,46529,410072,244105,2022-11-15T14:57:08.093000-05:00,25.031465428276576,48.72542827657379,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
36.0,1.0,12415,102222,29563,54884,222431,20468,133815,69229,193999,90521,147134,122660,12295,83024,6279,1461,60686,30173,106089,253702,179042,21827,353556,9787,30352,266858,44794,64860,327930,46591,409949,244125,2022-11-15T14:57:09.093000-05:00,25.047215849843585,49.03509906152242,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
37.0,1.0,12415,102256,29516,54889,222487,20467,133736,69258,193905,90541,147211,122179,12297,83104,6288,1463,60693,30176,106132,253828,178912,21817,353484,9814,30336,266836,44773,64788,328312,46578,410389,244050,2022-11-15T14:57:10.093000-05:00,25.066762886597935,49.273092783505156,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
38.0,1.0,12416,102245,29517,54925,222399,20465,133795,69269,193979,90566,147363,121610,12293,83037,6294,1461,60663,30166,106095,253916,178690,21821,353445,9830,30352,266839,44764,64677,328484,46577,410680,244042,2022-11-15T14:57:11.093000-05:00,25.030072239422083,49.42273477812178,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
39.0,1.0,12419,102291,29540,54971,222416,20466,133755,69267,194019,90540,147408,121188,12292,83047,6295,1459,60663,30162,105883,253927,178730,21813,353318,9845,30338,266620,44756,64570,328452,46566,410289,244082,2022-11-15T14:57:12.093000-05:00,25.051486068111455,49.54270381836945,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
40.0,1.0,12417,102301,29568,54976,222479,20464,133788,69289,193973,90553,147406,120828,12293,83073,6298,1462,60681,30153,106154,253839,178715,21807,353372,9852,30345,266611,44743,64466,328555,46531,409864,244043,2022-11-15T14:57:13.093000-05:00,25.03,49.61261855670103,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
41.0,1.0,12415,102283,29550,54947,222551,20460,133812,69260,193942,90545,147431,120499,12294,83050,6298,1462,60701,30137,106250,253976,178758,21805,353625,9862,30354,266573,44737,64371,328717,46479,410007,243988,2022-11-15T14:57:14.093000-05:00,25.036934984520126,49.64693498452012,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
42.0,1.0,12415,102247,29574,54936,222503,20458,133745,69247,193888,90543,147485,120033,12295,83089,6298,1462,60696,30132,106161,253972,178671,21802,353374,9865,30334,266557,44717,64265,328691,46429,410208,243913,2022-11-15T14:57:15.093000-05:00,25.05380310880829,49.66380310880829,100360_9606_705204,20221115_1456_agritech_batch2bfusmalljarwater_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,f0757bd7-d2ff-409a-9dbf-800d92a604b0,exposure
